kolom1	kolom2	kolom3
331bm	5i04sfraj57vf	59qcojb9sc
49lms	53iblt6bvm76d	3b8b0hs448
3s665	34t9j4gppvoii	7oascj2dkp
2mnvg	7it1vkeb75m32	1htaqf2k2b
34q9k	3tth8a9tilkk1	2acufqc5d0
66cno	hthvfj95ffr	6prdgqcdl4
733cm	48ffv21e18m9m	1g0kkpgj3h
4m3j9	3k15pifoj0dle	56aldvpl3a
2vt29	7o8pklpcdrheu	5akin2slvp
2f4lo	6sns7210sap56	2efjib66c2
3mtgl	2jhbj2or5bnia	7lie7fvend
7qqtc	1cnbv4nk2t588	7e62fqia7b
3jui0	49ndoi2lrd5v3	7co1hr4bsq
3jbpo	5hfoiq3t85klg	1ctd92l19g
4l5el	2796qm7k349nf	7kta1l795v
57klb	3ouh08pg1uguo	40nosm9mre
390lr	7dffkjapoelhj	6k11a8j1c7
3pah9	7upqr3i0lvhon	54env3vf02
7ke21	dgmcbfb0sfel	2krvccm33n
5381k	3krp8dc1si5hb	1sou5pecni
4o4h7	5t19r2nlunpd6	2r2hr6mtsc
5cs9g	7dcv4hj77cs7l	pg95g0mht1
g8q03	1jkt40t7ajarn	6jsv9fegke
gdjj2	41gsmjj61u4sh	6c0r0lufr0
2600a	6rvl6gbsf6g07	1ot4mu8uah
2jr0b	1kmgdoichtfpl	6nctp05pop
55b5e	3ipjdkemkqjkt	3m804r8fqm
15um0	6k5voa4tfrscp	44obf3acv2
1frg7	64lme7umdub4d	12vhdsg0r3
5k693	44j370kqfh4e8	15v429tlmg
3sq1q	5pu0ccv0g6p8	4vg9jt4v80
7al82	7860edak59ke4	7t77b6937n
55cn2	7h9r6jca9537c	366or3j272
69j3v	1dcsg09d8j8is	78aqec65ff
7pggv	3oi05b63tkgo9	gcp71b9rd5
64936	2tv2cdkmfousu	if3t1jnsf6
39qv4	2q9ou95hfc9su	4irik6d018
7rqpk	51mc4skvc79a	60h015b47h
maoc7	1op5pntpjafer	1o208ttb6d
4nndl	2bbsstim84rt4	7b1eg3vras
