kolom1	kolom2	kolom3
t32hh	74fmbl5g740r8	17c76gflf8
1dfq7	7m7bcjjkao9vs	4438f6b8p5
6s17t	mofhkd3tacse	1dlis0ie0u
1ck4j	3ufo7up62leap	6me8105h2v
23227	4fnr7juuve3fl	5f6b9u51tr
vflmr	4jkl8mqnhngl8	1uir93g7vb
3a5tv	3pi87talsokbf	6vhbeof2kq
4i7u1	7tprb2si4kqtr	6smf49blk0
3n6n1	1t8lv7ht00f5f	1ubomek26h
2ooqh	5o6u2lcegjqts	2jk5c6jeg2
2m59g	5atqbo82j9kon	494ktevqvm
70i8c	6f8hjoktvj6gk	179q1p0hef
33ajl	75gb6kigfkhil	1evjc544vc
6gi2m	1qgddn66kk69e	17q57u0p3a
2m0dm	18d0kpbep7ifr	6albun9eks
1j9n1	74ef8pmotfgtv	4lj8uc6asm
22idt	d1jarlv2knlh	hchu0ch5ig
gleh4	18cval7jbvtb9	6e103v56hi
3in2m	6ijumgg0rc3gm	56dbfmq2bs
71ik7	1ggvvkl8sk53a	5jotpkpbi7
r34ku	7d5m3rcpnh4q2	19qg25ia8e
31bji	7ch47iueve2ra	73ta857k6v
2c8tq	h76tc0gtk82t	5bf4u8hofo
4anut	4jejm7ag2r2gr	3lojqb3dlc
3pvp9	2e9oujigo14s3	44srusue17
562mo	75o63t1bji0tc	31hpd3d3pf
7u388	3raos335mh5bs	1q06938t2f
496cs	47s6d0ve0ph9c	7npb696rk3
7tf0c	2qmudq1cv3dor	4r9b725lb0
2iatb	7cio026sou13g	7uptir480m
22beu	48tnd5ldufdjg	3b6ek48366
7oqap	lcitrlu3js8p	6nbskoe6rg
6dvo8	2g06560ht73s3	29d8d7vaj8
4v86a	416bokujcg4v6	u6p4hkdi4q
37hlm	733cr42lshtpv	3kudv2ed9u
5vbc5	75pu34mqrluvb	23ktd2irbm
4r8b1	1vke5ttqdmkoo	21lsjl8mv9
rasu8	74mqcr1fp7n56	729i3921h4
6ajjh	4kp94ee75nsd7	1rcjfhshhi
6ua2i	4db89vobdurdn	38bd3fe1td
7at9l	4g0vuv6pu6ea	1dobom1e0r
4ed9g	5s5cb223i0ne9	3pfikpcd9e
545ds	58b2sv5r6896d	60iraig00i
fic1u	79pcuua5t2ino	3bd2cghvd0
3vob6	43gl5t7m4f73j	j6gehpv7g7
49gkq	79d58q2efepcb	2iok321r65
5r9v3	2o2n38pb2cn1f	4fjb1v5tt3
5q7br	b3v8qrj2f0vq	2emej4ae8p
3vpgc	77bkv33ulsc45	1rvrebkum6
4450v	4r19mgbaqqec1	36sv45mpr7
kisdp	1q0mj6lkhrshq	3nvhq6d0s0
47b8j	16as34a4hc5r4	4a6uqk3hi1
4mj3l	5hd76d7uhjqi4	25ti3tqufe
s6qfe	1t6e8k2johhr3	2ipnrrjfuf
403bd	757s1fsuehgac	3ctcr8lfof
3f1q2	45hkioj7rmgds	63rf4vbd67
19k0p	7366mt8hvcebv	69fjkvbbmf
6mcjk	2nsv331jjtv4r	43bv5t77tv
7cvmu	2uhmn15d9hg7c	1jq5t69tf2
6rgta	1gvhnqfbd7lo0	3k7advi5v0
7k9bu	3i2t7kfnhre2q	51kte90qv3
